INDEX,STEP1_PROC_TIME,STEP2_PROC_TIME,STEP3_PROC_TIME,STEP_1_DIS,STEP_2_DIS,STEP_3_DIS,STEP_1_STD,STEP_2_STD,STEP_3_STD,  VAC_VAL,END_POINT,TOTAL_PROCTIME,
-2146282759,192,218,169,37.447876,84.90305,102.4947,0.06137434,0.179272935,0.470378846,0.4651358,409,580,29
-2146282755,193,216,172,36.3965721,84.99453,111.534332,0.057762083,0.167844325,0.515536368,0.4675598,408,582,29.1
-2146282753,191,216,171,37.0871,85.7960358,111.004349,0.06152691,0.166172475,0.514575,0.4651358,406,579,28.95
-2146282751,191,218,170,35.4170265,86.4156342,103.250648,0.0550674,0.170686871,0.476309866,0.4651358,408,580,29
-2146282745,193,215,171,37.88049,83.63927,108.4479,0.06336481,0.167256,0.501915455,0.4651358,407,580,29
-2146282742,191,220,171,34.5929375,89.78155,106.734375,0.052733906,0.177208856,0.491101563,0.4651358,410,583,29.15
-2146282738,191,219,170,35.8080444,86.75372,103.151917,0.05612388,0.174548239,0.47407937,0.4651358,409,581,29.05
-2146282736,192,216,170,38.403698,83.55339,107.996338,0.06359688,0.167394519,0.497262359,0.4736198,407,579,28.95
-2146282734,190,219,170,34.77501,88.39274,105.930565,0.052667737,0.177032083,0.487933934,0.4651358,408,580,29
-2146282728,191,217,170,36.26683,85.14148,108.41777,0.058634564,0.171992242,0.507885754,0.4675598,407,579,28.95
-2146282726,192,217,169,37.8150978,85.01341,102.664185,0.06215596,0.178107738,0.4698972,0.4651358,408,579,28.95
-2146282724,192,213,172,37.37091,83.0933,110.701866,0.064342156,0.162941232,0.518036962,0.4675598,404,578,28.9
-2146282722,191,215,173,35.1143761,83.5288849,117.564651,0.054152597,0.172161356,0.551121533,0.4736198,405,580,29
-2146282720,193,215,168,39.1677132,83.2204361,101.199013,0.07032433,0.174818054,0.471925944,0.4651358,407,577,28.85
-2146282718,191,216,169,37.9379425,84.37549,102.975044,0.06532064,0.1733178,0.475307673,0.4711958,406,577,28.85
