"","LOTNO","PRODUCTNO","MONO","RUN_SEQ","WT","GR","SPC_VALUE","SPC_RANGE","PRE_CIE_X_AVG","PRE_CIE_Y_AVG","CIE_X_AVG","CIE_Y_AVG"
"16786","380P5851Y403","95.S3806.W0A0E0Z","T05TM85G09-042B1IZ01","1","31.70 ","0.00 ",35,31,"0.2986 ","0.2974 ","NULL","NULL"
"16787","T40P5850GS01","95.T4012.Z0B003Z","T05TM84526-054D4F202","0","49.60 ","10.25 ",80.83,13,"0.3437 ","0.3337 ","0.3174 ","0.3001 "
"16788","401P58502R01","95.T4014.A0B00CZ","T05TM85514-143CQC502","0","18.50 ","5.80 ",81.67,17,"0.2949 ","0.2770 ","NULL","NULL"
"16789","S04P58514J00","95.S3004.W0A01DZ","T05TM85120-0W3B1JC02","0","16.40 ","0.00 ",22,5,"0.2900 ","0.2549 ","0.2851 ","0.2632 "
"16790","S04P5851QD00","95.S3004.W0A100Z","T05TM85128-0W3C7JC01","0","15.85 ","0.00 ",29.67,14,"0.2995 ","0.2593 ","0.2981 ","0.2754 "
"16791","T40P58509N00","95.T4012.Z0B003Z","T05TM84526-054D4F202","2","49.50 ","10.50 ",82.83,9,"0.3439 ","0.3355 ","0.3164 ","0.2986 "
"16792","T30P5860EB00","95.T3030.Z0D11FZ","T05TM86318-164CZHH01","2","14.10 ","35.50 ",45.67,1,"0.3037 ","0.2939 ","0.2919 ","0.2640 "
"16793","C40P5850J900","95.T4014.W0A100Z","T05TM85016-132CAB801","0","17.32 ","0.00 ",73.5,52,"0.2867 ","0.2280 ","0.2874 ","0.2675 "
"16794","T30P58527500","95.T3030.Z0D01SZ","T05TM86304-163BTMA01","0","12.55 ","70.00 ",56,13,"0.2689 ","0.2436 ","0.2670 ","0.2316 "
"16795","T70P5851DX00","95.T7020.Z0C11CZ","T05TM85721-015D6GX01","0","10.65 ","14.55 ",115.17,42,"0.2996 ","0.2702 ","0.2880 ","0.2582 "
"16796","S06P5861ZY00","95.S3006.W0A0B6Z","T05TM86619-0W2C7JC01","0","17.00 ","0.00 ",33.83,14,"0.2612 ","0.2405 ","0.2716 ","0.2388 "
"16797","T30P5851BJ00","95.T3030.W0D007Z","T05TM85G17-163CZHH01","0","12.21 ","0.00 ",46,3,"0.2757 ","0.2719 ","0.2665 ","0.2418 "
"16798","T30P5861RC00","95.T3005.C00","T05TM86005-024CEAF03","0","15.00 ","0.00 ",67.17,38,"0.2920 ","0.2711 ","0.2867 ","0.2609 "
"16799","T30P5861SC00","95.T3005.C00","T05TM86005-024CEAF03","0","15.00 ","0.00 ",85.17,28,"0.2950 ","0.2775 ","0.2872 ","0.2622 "
"16800","C40P5850J401","95.T4014.W0A100Z","T05TM85016-132CAB801","0","17.32 ","0.00 ",62.5,26,"0.2891 ","0.2321 ","0.2890 ","0.2706 "
"16801","T70P5860ZB03","95.T7020.Z0C11CZ","T05TM86720-015D6GX01","1","10.30 ","14.30 ",132,17,"0.2943 ","0.2644 ","NULL","NULL"
"16802","T30P58523C00","95.T3030.Z0D01SZ","T05TM86303-163BTII01","2","14.25 ","75.00 ",85.83,27,"0.2813 ","0.2679 ","NULL","NULL"
"16803","S06P58541W00","95.S3006.W0A0B6Z","T05TM86002-0W4C7JC01","0","17.20 ","0.00 ",36,15,"0.2662 ","0.2571 ","0.2728 ","0.2462 "
"16804","380P58628A00","95.S3806.W0A0B6Z","T05TM86616-043BEAF01","0","44.50 ","0.00 ",25,9,"0.3037 ","0.3214 ","0.2911 ","0.2789 "
"16805","T30P5862FN00","95.T3030.W0D005Z","T05TM86334-163CZHH01","0","10.35 ","0.00 ",88.83,45,"0.2892 ","0.2773 ","NULL","NULL"
"16806","C40P5860DT04","95.T4014.W0B1B4Z","T05TM86109-132CAB801","0","15.45 ","0.00 ",98.5,27,"0.2812 ","0.2117 ","0.2834 ","0.2569 "
"16807","380P58144H00","95.S3806.W0A0C8Z","T05TM81621-0W4C7JC02","0","33.20 ","0.00 ",45.5,12,"0.2935 ","0.2955 ","0.2873 ","0.2675 "
"16808","T70P57C1QH00","95.T7020.Z0C11BZ","T05TM7C729-052D6HH01","0","11.80 ","29.30 ",140,20,"0.3119 ","0.2794 ","0.3056 ","0.2815 "
"16809","380P57C2YR00","95.S3806.W0A0C8Z","T05TM7C621-0W4C7JC02","0","33.00 ","0.00 ",25.5,8,"0.2927 ","0.2945 ","0.2859 ","0.2653 "
"16810","380P58122900","95.S3806.W0A0C8Z","T05TM81613-0W1C7J001","0","27.00 ","0.00 ",44.17,18,"0.2937 ","0.2871 ","0.2879 ","0.2577 "
"16811","401P58101S00","95.T4014.A0B00CZ","T05TM81509-142CQI301","0","18.60 ","5.30 ",87.67,11,"0.2976 ","0.2713 ","NULL","NULL"
"16812","T30P58124600","95.T3030.A0D10AZ","T05TM81338-163CZHH01","4","75.00 ","0.34 ",50.17,7,"0.3335 ","0.3540 ","NULL","NULL"
"16813","T70P58114K00","95.T7020.Z0C11BZ","T05TM81710-052D6GX01","0","12.10 ","19.00 ",60.33,12,"0.3131 ","0.2740 ","0.3108 ","0.2791 "
"16814","T40P57C18P00","95.T4014.W0B102Z","T05TM7C551-023BJEL02","3","7.80 ","0.00 ",102.83,12,"0.2837 ","0.2684 ","0.2915 ","0.2681 "
"16815","S06P57C2UC00","95.S3806.W0A0D6Z","T05TM7C620-0W2C7AI02","0","22.80 ","0.00 ",35.17,9,"0.2901 ","0.2913 ","0.2841 ","0.2603 "
"16816","380P5812GK00","95.S3806.W0A0C8Z","T05TM81613-0W1C7JC02","0","27.00 ","0.00 ",51.83,21,"0.2945 ","0.2889 ","0.2883 ","0.2584 "
